Date,SKU,Group,Units Pkg,Avg Price Pkg,Sales Pkg,Turnover per month,Avg Price Pkg binned,Sales Pkg binned,Low avg price,Medium avg price,High avg price
2018-09-01,SKU_05,C,6,8,10,80,Low,Low,1,0,0
2018-09-01,SKU_53,C,6,8,95,760,Low,Low,1,0,0
2018-09-01,SKU_54,C,5,8,92,736,Low,Low,1,0,0
2018-09-01,SKU_07,D,6,9,2180,19620,Low,Medium,1,0,0
2018-09-01,SKU_59,D,6,7,283,1981,Low,Low,1,0,0
2018-09-01,SKU_08,D,7,8,1541,12328,Low,Medium,1,0,0
2018-09-01,SKU_60,D,8,7,216,1512,Low,Low,1,0,0
2018-09-01,SKU_09,D,7,7,207,1449,Low,Low,1,0,0
2018-09-01,SKU_10,D,6,7,611,4277,Low,Low,1,0,0
2018-09-01,SKU_11,D,7,7,142,994,Low,Low,1,0,0
2018-09-01,SKU_12,D,5,9,976,8784,Low,Low,1,0,0
2018-09-01,SKU_13,D,8,8,388,3104,Low,Low,1,0,0
2018-09-01,SKU_14,D,5,7,655,4585,Low,Low,1,0,0
2018-09-01,SKU_15,D,5,7,173,1211,Low,Low,1,0,0
2018-09-01,SKU_16,D,4,7,416,2912,Low,Low,1,0,0
2018-09-01,SKU_70,B,6,6,170,1020,Low,Low,1,0,0
2018-09-01,SKU_71,B,8,7,110,770,Low,Low,1,0,0
2018-09-01,SKU_72,B,6,6,264,1584,Low,Low,1,0,0
2018-09-01,SKU_73,B,7,7,165,1155,Low,Low,1,0,0
2018-09-01,SKU_74,B,5,6,163,978,Low,Low,1,0,0
2018-09-01,SKU_75,B,6,7,92,644,Low,Low,1,0,0
2018-09-01,SKU_17,F,7,15,8,120,Medium,Low,0,1,0
2018-09-01,SKU_56,F,6,12,24,288,Medium,Low,0,1,0
2018-09-01,SKU_80,F,6,13,71,923,Medium,Low,0,1,0
2018-09-01,SKU_76,F,6,13,312,4056,Medium,Low,0,1,0
2018-09-01,SKU_81,F,2,4,4,16,Low,Low,1,0,0
2018-09-01,SKU_82,F,2,4,12,48,Low,Low,1,0,0
2018-09-01,SKU_19,F,7,14,42,588,Medium,Low,0,1,0
2018-09-01,SKU_62,F,6,12,1,12,Medium,Low,0,1,0
